load_zone,timestamp,component,injects_or_withdraws,value
Chongqing,2025.07.22.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.07.22.20,InjectIntoDistributedGrid,injects,19166.1763022632
Chongqing,2025.07.22.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.20,EvDischargePower,injects,0.0
Chongqing,2025.07.22.20,zone_demand_mw,withdraws,-18911.2018365012
Chongqing,2025.07.22.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.20,EvChargePower,withdraws,-254.97446576199673
Chongqing,2025.08.19.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.08.19.00,InjectIntoDistributedGrid,injects,22663.194722801523
Chongqing,2025.08.19.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.00,EvDischargePower,injects,0.0
Chongqing,2025.08.19.00,zone_demand_mw,withdraws,-21876.5732374331
Chongqing,2025.08.19.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.00,EvChargePower,withdraws,-786.6214853684213
Chongqing,2025.08.19.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.08.19.04,InjectIntoDistributedGrid,injects,17715.8715742314
Chongqing,2025.08.19.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.04,EvDischargePower,injects,0.0
Chongqing,2025.08.19.04,zone_demand_mw,withdraws,-17644.0265542314
Chongqing,2025.08.19.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.04,EvChargePower,withdraws,-71.84502
Chongqing,2025.08.19.08,ZoneTotalDistributedDispatch,injects,23.722757100000006
Chongqing,2025.08.19.08,InjectIntoDistributedGrid,injects,18272.8315957377
Chongqing,2025.08.19.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.08,EvDischargePower,injects,0.0
Chongqing,2025.08.19.08,zone_demand_mw,withdraws,-18294.7582273377
Chongqing,2025.08.19.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.08,EvChargePower,withdraws,-1.7961255
Chongqing,2025.08.19.12,ZoneTotalDistributedDispatch,injects,50.69030400000001
Chongqing,2025.08.19.12,InjectIntoDistributedGrid,injects,23141.328641656903
Chongqing,2025.08.19.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.12,EvDischargePower,injects,0.0
Chongqing,2025.08.19.12,zone_demand_mw,withdraws,-22931.5807481569
Chongqing,2025.08.19.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.12,EvChargePower,withdraws,-260.4381975
Chongqing,2025.08.19.16,ZoneTotalDistributedDispatch,injects,13.028418900000004
Chongqing,2025.08.19.16,InjectIntoDistributedGrid,injects,22707.844614906197
Chongqing,2025.08.19.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.16,EvDischargePower,injects,1778.18355
Chongqing,2025.08.19.16,zone_demand_mw,withdraws,-24499.0565838062
Chongqing,2025.08.19.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.16,EvChargePower,withdraws,-0.0
Chongqing,2025.08.19.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.08.19.20,InjectIntoDistributedGrid,injects,23738.817542854304
Chongqing,2025.08.19.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.08.19.20,EvDischargePower,injects,0.0
Chongqing,2025.08.19.20,zone_demand_mw,withdraws,-22413.2769238543
Chongqing,2025.08.19.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.08.19.20,EvChargePower,withdraws,-1325.540619
Chongqing,2025.09.20.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.09.20.00,InjectIntoDistributedGrid,injects,17023.346378738217
Chongqing,2025.09.20.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.00,EvDischargePower,injects,284.2125263490834
Chongqing,2025.09.20.00,zone_demand_mw,withdraws,-17307.5589050873
Chongqing,2025.09.20.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.00,EvChargePower,withdraws,-0.0
Chongqing,2025.09.20.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.09.20.04,InjectIntoDistributedGrid,injects,14030.842418539401
Chongqing,2025.09.20.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.04,EvDischargePower,injects,0.0
Chongqing,2025.09.20.04,zone_demand_mw,withdraws,-13958.9973985394
Chongqing,2025.09.20.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.04,EvChargePower,withdraws,-71.84502
Chongqing,2025.09.20.08,ZoneTotalDistributedDispatch,injects,69.59553300000002
