load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Henan,2025.07.22.00,0.0,70019.13642190823,0.0,0.0,-68473.9713545398,-0.0,-1545.165067368422
Henan,2025.07.22.04,0.0,61528.4942803221,0.0,0.0,-61528.4942803221,-0.0,-0.0
Henan,2025.07.22.08,4524.008104000001,59054.98972691949,0.0,0.0,-63578.9978309195,-0.0,-0.0
Henan,2025.07.22.12,11067.280688800003,65673.9067198583,0.0,0.0,-76741.1874086583,-0.0,-0.0
Henan,2025.07.22.16,4405.020459280002,71777.5555087712,0.0,0.0,-76182.5759680512,-0.0,-0.0
Henan,2025.07.22.20,0.0,73302.1252078364,0.0,0.0,-73302.1252078364,-0.0,-0.0
Henan,2025.08.19.00,0.0,62460.674905164306,0.0,0.0,-62460.6749051643,-0.0,-0.0
Henan,2025.08.19.04,0.0,56125.1407304663,0.0,0.0,-56125.1407304663,-0.0,-0.0
Henan,2025.08.19.08,1873.7256647200004,56121.846021219906,0.0,0.0,-57995.5716859399,-0.0,-0.0
Henan,2025.08.19.12,9689.676288320003,60312.1983473726,0.0,0.0,-70001.8746356926,-0.0,-0.0
Henan,2025.08.19.16,6813.377970000001,64817.85897464084,0.0,0.0,-69492.3197362198,-0.0,-2138.9172084210536
Henan,2025.08.19.20,0.0,66864.826471917,0.0,0.0,-66864.826471917,-0.0,-0.0
Henan,2025.09.20.00,0.0,50311.2349709045,0.0,0.0,-50311.2349709045,-0.0,-0.0
Henan,2025.09.20.04,0.0,45208.046480983096,0.0,0.0007800000000000001,-45208.0472609831,-0.0,-0.0
Henan,2025.09.20.08,3402.909260240001,43317.1848124293,0.0,0.0,-46714.6542811693,-0.0,-5.439791499999999
Henan,2025.09.20.12,8399.310735200002,48775.029129765295,0.0,0.0,-56385.5700974653,-0.0,-788.7697675
Henan,2025.09.20.16,3136.346888640001,52838.7835791402,0.0,0.0,-55975.1304677802,-0.0,-0.0
Henan,2025.09.20.20,0.0,54542.72497239825,0.0,0.0,-53858.7199229772,-0.0,-684.0050494210525
Henan,2025.10.26.00,0.0,46748.5202702114,0.0,0.0,-46748.5202702114,-0.0,-0.0
Henan,2025.10.26.04,0.0,42006.706369585,0.0,0.0007800000000000001,-42006.707149585,-0.0,-0.0
Henan,2025.10.26.08,9353.539204800003,34058.52663835829,0.0,0.0,-43406.6260516583,-0.0,-5.439791499999999
Henan,2025.10.26.12,21467.753972000002,31713.726254171394,0.0,0.0,-52392.7104586714,-0.0,-788.7697675
Henan,2025.10.26.16,3820.314948800001,48191.0012424177,0.0,0.019305,-52011.3354962177,-0.0,-0.0
Henan,2025.10.26.20,0.0,51164.88502055112,0.0,0.0,-50044.7953921827,-0.0,-1120.0896283684203
Henan,2025.11.19.00,0.0,49709.9022477436,0.0,0.0,-49709.9022477436,-0.0,-0.0
Henan,2025.11.19.04,0.0,44667.7091400056,0.0,0.0,-44667.7091400056,-0.0,-0.0
Henan,2025.11.19.08,4764.373048960001,41391.9357595398,0.0,0.0,-46156.3088084998,-0.0,-0.0
Henan,2025.11.19.12,17398.239644800007,39102.1654929955,0.0,0.0,-55711.6353702955,-0.0,-788.7697675
Henan,2025.11.19.16,1425.3162414400003,53880.765873396,0.0,0.019305,-55306.101419836,-0.0,-0.0
Henan,2025.11.19.20,0.0,54219.826861350746,0.0,0.0,-53214.9867541139,-0.0,-1004.8401072368415
Henan,2025.12.16.00,0.0,57110.589861054745,0.0,0.0,-56641.3599938179,-0.0,-469.22986723684227
Henan,2025.12.16.04,0.0,50896.092711851,0.0,0.0,-50896.092711851,-0.0,-0.0
Henan,2025.12.16.08,5345.686673600001,47246.573318758696,0.0,0.0,-52592.2599923587,-0.0,-0.0
Henan,2025.12.16.12,22491.971572000002,41776.761988759295,0.0,0.0,-63479.9637932593,-0.0,-788.7697675
Henan,2025.12.16.16,2868.359796960001,60149.503829357396,0.0,0.019305,-63017.8829313174,-0.0,-0.0
Henan,2025.12.16.20,0.0,60635.187065628,0.0,0.0,-60635.187065628,-0.0,-0.0
Hubei,2025.01.22.00,0.0,34371.44434489078,0.0,0.0,-34178.9138691013,-0.0,-192.53047578947357
Hubei,2025.01.22.04,0.0,30937.572015856604,0.0,0.0,-30834.6390558566,-0.0,-102.93296000000001
Hubei,2025.01.22.08,196.73757348000004,30792.054602491,0.0,0.0,-30988.792175971,-0.0,-0.0
Hubei,2025.01.22.12,3016.691174000001,33828.69693026961,0.0,0.0,-36472.2561242696,-0.0,-373.13198
Hubei,2025.01.22.16,891.2134275333336,37421.88833299214,0.0,0.0,-38143.2311215781,-0.0,-169.87063894736843
Hubei,2025.01.22.20,0.0,35750.8008245248,0.0,0.0,-35750.8008245248,-0.0,-0.0
Hubei,2025.02.08.00,0.0,30252.223753934013,0.0,0.0,-30234.7209834077,-0.0,-17.502770526315736
Hubei,2025.02.08.04,0.0,27276.3702219547,0.0,0.0,-27276.3702219547,-0.0,-0.0
Hubei,2025.02.08.08,174.32734116000003,27238.4069733821,0.0,0.0,-27412.7343145421,-0.0,-0.0
Hubei,2025.02.08.12,685.5236808000002,31866.687183404014,0.0,0.0,-32263.4151505198,-0.0,-288.79571368421045
Hubei,2025.02.08.16,727.9532022000002,33505.770297833136,0.0,0.0,-33741.5622621384,-0.0,-492.1612378947367
Hubei,2025.02.08.20,0.0,31625.214657276403,0.0,0.0,-31625.2146572764,-0.0,-0.0
Hubei,2025.03.21.00,0.0,29198.0686185723,0.0,0.0,-29198.0686185723,-0.0,-0.0
Hubei,2025.03.21.04,0.0,26341.1502902004,0.0,0.0,-26341.1502902004,-0.0,-0.0
Hubei,2025.03.21.08,359.8724934000001,26115.5397226122,0.0,0.0,-26472.8388920122,-0.0,-2.573324
Hubei,2025.03.21.12,756.8137089333335,30773.523589790566,0.0,0.0,-31157.2053187239,-0.0,-373.13198
Hubei,2025.03.21.16,427.7529970000001,32911.392065719505,0.0,0.0,-32584.6714698774,-0.0,-754.4735928421053
Hubei,2025.03.21.20,0.0,30540.8866894118,0.0,0.0,-30540.8866894118,-0.0,-0.0
Hubei,2025.04.11.00,0.0,29256.220115552136,0.0,0.0,-28574.0287976574,-0.0,-682.1913178947368
Hubei,2025.04.11.04,0.0,25778.1703573655,0.0,0.0,-25778.1703573655,-0.0,-0.0
Hubei,2025.04.11.08,317.56592280000007,25589.4785032462,0.0,0.0,-25907.0444260462,-0.0,-0.0
Hubei,2025.04.11.12,1002.8753560000002,29488.418217625098,0.0,0.0,-30491.2935736251,-0.0,-0.0
Hubei,2025.04.11.16,534.8393675333335,31353.411636515662,0.0,0.0,-31888.251004049,-0.0,-0.0
Hubei,2025.04.11.20,0.0,30191.945389169257,0.0,0.0,-29888.1473007482,-0.0,-303.79808842105257
Hubei,2025.05.22.00,0.0,29454.00915043594,0.0,0.0,-28854.5600965412,-0.0,-599.4490538947371
Hubei,2025.05.22.04,0.0,26134.1857113258,0.0,0.0,-26031.2527513258,-0.0,-102.93296000000004
Hubei,2025.05.22.08,2124.3460326666673,24039.619358538137,0.0,0.0,-26161.3920672048,-0.0,-2.573324
Hubei,2025.05.22.12,3551.707637333334,27612.07234934816,0.0,0.0,-30790.6480066815,-0.0,-373.13198
Hubei,2025.05.22.16,778.9037582666668,31422.416590558627,0.0,0.0,-32201.3203488253,-0.0,-0.0
Hubei,2025.05.22.20,0.0,30519.13365503075,0.0,0.0,-30181.5802234518,-0.0,-337.5534315789474
Hubei,2025.06.16.00,0.0,32301.078703963103,0.0,0.0,-32301.0787039631,-0.0,-0.0
Hubei,2025.06.16.04,0.0,29140.542814379,0.0,0.0,-29140.542814379,-0.0,-0.0
