SPINNING_RESERVE_GEN_TPS_1,SPINNING_RESERVE_GEN_TPS_2,CommitGenSpinningReservesUp
East_Inner_Mongolia-Coal-2022,2025.02.08.08,0.0
East_Inner_Mongolia-Coal-2022,2025.02.08.12,2244.750777730158
East_Inner_Mongolia-Coal-2022,2025.02.08.16,0.0
East_Inner_Mongolia-Coal-2022,2025.02.08.20,0.0
East_Inner_Mongolia-Coal-2022,2025.03.21.00,0.0
East_Inner_Mongolia-Coal-2022,2025.03.21.04,0.0
East_Inner_Mongolia-Coal-2022,2025.03.21.08,0.0
East_Inner_Mongolia-Coal-2022,2025.03.21.12,8094.211028025835
East_Inner_Mongolia-Coal-2022,2025.03.21.16,0.0
East_Inner_Mongolia-Coal-2022,2025.03.21.20,0.0
East_Inner_Mongolia-Coal-2022,2025.04.11.00,0.0
East_Inner_Mongolia-Coal-2022,2025.04.11.04,0.0
East_Inner_Mongolia-Coal-2022,2025.04.11.08,0.0
East_Inner_Mongolia-Coal-2022,2025.04.11.12,13956.95274436411
East_Inner_Mongolia-Coal-2022,2025.04.11.16,0.0
East_Inner_Mongolia-Coal-2022,2025.04.11.20,837.1037554893774
East_Inner_Mongolia-Coal-2022,2025.05.22.00,0.0
East_Inner_Mongolia-Coal-2022,2025.05.22.04,8218.60950892147
East_Inner_Mongolia-Coal-2022,2025.05.22.08,6349.524368946084
East_Inner_Mongolia-Coal-2022,2025.05.22.12,5715.585566779206
East_Inner_Mongolia-Coal-2022,2025.05.22.16,2109.2378730618057
East_Inner_Mongolia-Coal-2022,2025.05.22.20,452.13342674167507
East_Inner_Mongolia-Coal-2022,2025.06.16.00,0.0
East_Inner_Mongolia-Coal-2022,2025.06.16.04,0.0
East_Inner_Mongolia-Coal-2022,2025.06.16.08,9694.75
East_Inner_Mongolia-Coal-2022,2025.06.16.12,10571.982423260954
East_Inner_Mongolia-Coal-2022,2025.06.16.16,877.2324232609535
East_Inner_Mongolia-Coal-2022,2025.06.16.20,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.00,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.04,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.08,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.12,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.16,0.0
East_Inner_Mongolia-Coal-2022,2025.07.22.20,0.0
East_Inner_Mongolia-Coal-2022,2025.08.19.00,0.0
East_Inner_Mongolia-Coal-2022,2025.08.19.04,0.0
East_Inner_Mongolia-Coal-2022,2025.08.19.08,13109.824271030928
East_Inner_Mongolia-Coal-2022,2025.08.19.12,0.0
East_Inner_Mongolia-Coal-2022,2025.08.19.16,0.0
East_Inner_Mongolia-Coal-2022,2025.08.19.20,0.0
East_Inner_Mongolia-Coal-2022,2025.09.20.00,0.0
East_Inner_Mongolia-Coal-2022,2025.09.20.04,0.0
East_Inner_Mongolia-Coal-2022,2025.09.20.08,3046.9050719493025
East_Inner_Mongolia-Coal-2022,2025.09.20.12,0.0
East_Inner_Mongolia-Coal-2022,2025.09.20.16,269.2689328512861
East_Inner_Mongolia-Coal-2022,2025.09.20.20,0.0
East_Inner_Mongolia-Coal-2022,2025.10.26.00,9694.75
East_Inner_Mongolia-Coal-2022,2025.10.26.04,0.0
East_Inner_Mongolia-Coal-2022,2025.10.26.08,0.0
East_Inner_Mongolia-Coal-2022,2025.10.26.12,9694.75
East_Inner_Mongolia-Coal-2022,2025.10.26.16,0.0
East_Inner_Mongolia-Coal-2022,2025.10.26.20,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.00,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.04,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.08,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.12,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.16,0.0
East_Inner_Mongolia-Coal-2022,2025.11.19.20,0.0
East_Inner_Mongolia-Coal-2022,2025.12.16.00,0.0
East_Inner_Mongolia-Coal-2022,2025.12.16.04,0.0
East_Inner_Mongolia-Coal-2022,2025.12.16.08,0.0
East_Inner_Mongolia-Coal-2022,2025.12.16.12,15611.374787544511
East_Inner_Mongolia-Coal-2022,2025.12.16.16,4210.407052093597
East_Inner_Mongolia-Coal-2022,2025.12.16.20,2840.930642325995
