ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Jiangxi-Ev,2025.04.11.12,128.95434842105283
Jiangxi-Ev,2025.04.11.16,0.0
Jiangxi-Ev,2025.04.11.20,0.0
Jiangxi-Ev,2025.05.22.00,0.0
Jiangxi-Ev,2025.05.22.04,0.0
Jiangxi-Ev,2025.05.22.08,1.531153
Jiangxi-Ev,2025.05.22.12,222.01718499999998
Jiangxi-Ev,2025.05.22.16,519.1078314736844
Jiangxi-Ev,2025.05.22.20,0.0
Jiangxi-Ev,2025.06.16.00,0.0
Jiangxi-Ev,2025.06.16.04,0.0
Jiangxi-Ev,2025.06.16.08,1.531153
Jiangxi-Ev,2025.06.16.12,222.01718499999998
Jiangxi-Ev,2025.06.16.16,623.7581588421051
Jiangxi-Ev,2025.06.16.20,0.0
Jiangxi-Ev,2025.07.22.00,0.9918399999999469
Jiangxi-Ev,2025.07.22.04,2.2316399999999703
Jiangxi-Ev,2025.07.22.08,1.531153
Jiangxi-Ev,2025.07.22.12,222.01718499999998
Jiangxi-Ev,2025.07.22.16,168.476422
Jiangxi-Ev,2025.07.22.20,0.0
Jiangxi-Ev,2025.08.19.00,330.642262
Jiangxi-Ev,2025.08.19.04,0.0
Jiangxi-Ev,2025.08.19.08,1.531153
Jiangxi-Ev,2025.08.19.12,222.01718499999998
Jiangxi-Ev,2025.08.19.16,0.0
Jiangxi-Ev,2025.08.19.20,0.0
Jiangxi-Ev,2025.09.20.00,0.0
Jiangxi-Ev,2025.09.20.04,0.0
Jiangxi-Ev,2025.09.20.08,1.531153
Jiangxi-Ev,2025.09.20.12,222.01718499999998
Jiangxi-Ev,2025.09.20.16,296.91970199999975
Jiangxi-Ev,2025.09.20.20,0.0
Jiangxi-Ev,2025.10.26.00,0.0
Jiangxi-Ev,2025.10.26.04,0.0
Jiangxi-Ev,2025.10.26.08,1.531153
Jiangxi-Ev,2025.10.26.12,222.01718499999998
Jiangxi-Ev,2025.10.26.16,0.0
Jiangxi-Ev,2025.10.26.20,166.24478200000016
Jiangxi-Ev,2025.11.19.00,0.0
Jiangxi-Ev,2025.11.19.04,61.24612
Jiangxi-Ev,2025.11.19.08,1.531153
Jiangxi-Ev,2025.11.19.12,0.0
Jiangxi-Ev,2025.11.19.16,537.0379669999999
Jiangxi-Ev,2025.11.19.20,0.0
Jiangxi-Ev,2025.12.16.00,241.12870200000003
Jiangxi-Ev,2025.12.16.04,61.24612
Jiangxi-Ev,2025.12.16.08,1.531153
Jiangxi-Ev,2025.12.16.12,222.01718499999998
Jiangxi-Ev,2025.12.16.16,0.0
Jiangxi-Ev,2025.12.16.20,0.0
Sichuan-Ev,2025.01.22.00,0.0
Sichuan-Ev,2025.01.22.04,0.0
Sichuan-Ev,2025.01.22.08,0.0
Sichuan-Ev,2025.01.22.12,0.0
Sichuan-Ev,2025.01.22.16,1446.324728812935
Sichuan-Ev,2025.01.22.20,185.13937855548647
Sichuan-Ev,2025.02.08.00,0.0
Sichuan-Ev,2025.02.08.04,0.0
Sichuan-Ev,2025.02.08.08,0.0
Sichuan-Ev,2025.02.08.12,0.0
Sichuan-Ev,2025.02.08.16,1427.484571578948
Sichuan-Ev,2025.02.08.20,0.0
Sichuan-Ev,2025.03.21.00,0.0
Sichuan-Ev,2025.03.21.04,0.0
Sichuan-Ev,2025.03.21.08,0.0
Sichuan-Ev,2025.03.21.12,0.0
Sichuan-Ev,2025.03.21.16,0.0
Sichuan-Ev,2025.03.21.20,1419.1827557894737
Sichuan-Ev,2025.04.11.00,0.0
Sichuan-Ev,2025.04.11.04,0.0
Sichuan-Ev,2025.04.11.08,0.0
Sichuan-Ev,2025.04.11.12,0.0
Sichuan-Ev,2025.04.11.16,2094.7234147368417
Sichuan-Ev,2025.04.11.20,0.0
Sichuan-Ev,2025.05.22.00,202.9678005526313
Sichuan-Ev,2025.05.22.04,0.0
Sichuan-Ev,2025.05.22.08,3.5422205
Sichuan-Ev,2025.05.22.12,513.6219725
Sichuan-Ev,2025.05.22.16,608.9894474999999
Sichuan-Ev,2025.05.22.20,0.0
Sichuan-Ev,2025.06.16.00,1706.5758684210523
Sichuan-Ev,2025.06.16.04,0.0
Sichuan-Ev,2025.06.16.08,0.0
Sichuan-Ev,2025.06.16.12,0.0
Sichuan-Ev,2025.06.16.16,0.0
Sichuan-Ev,2025.06.16.20,0.0
Sichuan-Ev,2025.07.22.00,548.87208581579
Sichuan-Ev,2025.07.22.04,141.68882000000002
Sichuan-Ev,2025.07.22.08,3.5422205
Sichuan-Ev,2025.07.22.12,513.6219725
Sichuan-Ev,2025.07.22.16,929.374584342105
Sichuan-Ev,2025.07.22.20,0.0
Sichuan-Ev,2025.08.19.00,0.0
Sichuan-Ev,2025.08.19.04,0.0
Sichuan-Ev,2025.08.19.08,3.5422205
Sichuan-Ev,2025.08.19.12,44.1701989473684
Sichuan-Ev,2025.08.19.16,0.0
Sichuan-Ev,2025.08.19.20,490.36091318421046
Sichuan-Ev,2025.09.20.00,0.0
Sichuan-Ev,2025.09.20.04,0.0
Sichuan-Ev,2025.09.20.08,0.0
Sichuan-Ev,2025.09.20.12,0.0
Sichuan-Ev,2025.09.20.16,929.8687336842105
Sichuan-Ev,2025.09.20.20,0.0
Sichuan-Ev,2025.10.26.00,1776.5598200000002
Sichuan-Ev,2025.10.26.04,0.0
Sichuan-Ev,2025.10.26.08,0.0
Sichuan-Ev,2025.10.26.12,0.0
Sichuan-Ev,2025.10.26.16,0.0
Sichuan-Ev,2025.10.26.20,0.0
Sichuan-Ev,2025.11.19.00,397.53179052631583
Sichuan-Ev,2025.11.19.04,0.0
Sichuan-Ev,2025.11.19.08,0.0
Sichuan-Ev,2025.11.19.12,353.3615915789474
Sichuan-Ev,2025.11.19.16,378.60170526315795
Sichuan-Ev,2025.11.19.20,464.647547368421
Sichuan-Ev,2025.12.16.00,993.3275422368421
Sichuan-Ev,2025.12.16.04,141.68882000000005
Sichuan-Ev,2025.12.16.08,0.0
Sichuan-Ev,2025.12.16.12,513.6219725
Sichuan-Ev,2025.12.16.16,0.0
Sichuan-Ev,2025.12.16.20,0.0
Anhui-Ev,2025.01.22.00,991.8222511052633
Anhui-Ev,2025.01.22.04,0.0
Anhui-Ev,2025.01.22.08,2.6669435000000004
Anhui-Ev,2025.01.22.12,386.70680749999997
Anhui-Ev,2025.01.22.16,0.0
Anhui-Ev,2025.01.22.20,0.0
Anhui-Ev,2025.02.08.00,0.0
Anhui-Ev,2025.02.08.04,0.0
Anhui-Ev,2025.02.08.08,2.6669435000000004
Anhui-Ev,2025.02.08.12,386.70680749999997
Anhui-Ev,2025.02.08.16,492.5531521578951
Anhui-Ev,2025.02.08.20,0.0
Anhui-Ev,2025.03.21.00,0.0
Anhui-Ev,2025.03.21.04,106.67773999999999
Anhui-Ev,2025.03.21.08,2.6669435000000004
Anhui-Ev,2025.03.21.12,386.70680749999997
Anhui-Ev,2025.03.21.16,692.5199279473683
Anhui-Ev,2025.03.21.20,0.0
Anhui-Ev,2025.04.11.00,0.0
Anhui-Ev,2025.04.11.04,106.67773999999999
Anhui-Ev,2025.04.11.08,0.0
Anhui-Ev,2025.04.11.12,199.53488210526325
Anhui-Ev,2025.04.11.16,0.0
Anhui-Ev,2025.04.11.20,83.35548105263162
Anhui-Ev,2025.05.22.00,280.52882268421064
Anhui-Ev,2025.05.22.04,0.0
Anhui-Ev,2025.05.22.08,2.6669435000000004
