TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Xinjiang,Henan,2025.12.16.04,14400.0
Xinjiang,Henan,2025.12.16.08,14400.0
Xinjiang,Henan,2025.12.16.12,14400.0
Xinjiang,Henan,2025.12.16.16,14127.67665
Xinjiang,Henan,2025.12.16.20,14400.0
Henan,Xinjiang,2025.01.22.00,0.0
Henan,Xinjiang,2025.01.22.04,0.0
Henan,Xinjiang,2025.01.22.08,0.0
Henan,Xinjiang,2025.01.22.12,0.0
Henan,Xinjiang,2025.01.22.16,0.0
Henan,Xinjiang,2025.01.22.20,0.0
Henan,Xinjiang,2025.02.08.00,0.0
Henan,Xinjiang,2025.02.08.04,0.0
Henan,Xinjiang,2025.02.08.08,0.0
Henan,Xinjiang,2025.02.08.12,0.0
Henan,Xinjiang,2025.02.08.16,0.0
Henan,Xinjiang,2025.02.08.20,0.0
Henan,Xinjiang,2025.03.21.00,0.0
Henan,Xinjiang,2025.03.21.04,0.0
Henan,Xinjiang,2025.03.21.08,0.0
Henan,Xinjiang,2025.03.21.12,0.0
Henan,Xinjiang,2025.03.21.16,0.0
Henan,Xinjiang,2025.03.21.20,0.0
Henan,Xinjiang,2025.04.11.00,0.0
Henan,Xinjiang,2025.04.11.04,0.0
Henan,Xinjiang,2025.04.11.08,0.0
Henan,Xinjiang,2025.04.11.12,0.0
Henan,Xinjiang,2025.04.11.16,0.0
Henan,Xinjiang,2025.04.11.20,0.0
Henan,Xinjiang,2025.05.22.00,0.0
Henan,Xinjiang,2025.05.22.04,0.0
Henan,Xinjiang,2025.05.22.08,0.0
Henan,Xinjiang,2025.05.22.12,0.0
Henan,Xinjiang,2025.05.22.16,0.0
Henan,Xinjiang,2025.05.22.20,0.0
Henan,Xinjiang,2025.06.16.00,0.0
Henan,Xinjiang,2025.06.16.04,0.0
Henan,Xinjiang,2025.06.16.08,0.0
Henan,Xinjiang,2025.06.16.12,0.0
Henan,Xinjiang,2025.06.16.16,0.0
Henan,Xinjiang,2025.06.16.20,0.0
Henan,Xinjiang,2025.07.22.00,0.0
Henan,Xinjiang,2025.07.22.04,0.0
Henan,Xinjiang,2025.07.22.08,0.0
Henan,Xinjiang,2025.07.22.12,0.0
Henan,Xinjiang,2025.07.22.16,0.0
Henan,Xinjiang,2025.07.22.20,0.0
