BALANCING_AREA,timepoints,NREL35VarGenSpinningReserveRequirement,CommittedSpinningReserveUp
Southern_Power,2025.12.16.08,22012.6,22012.6
Southern_Power,2025.12.16.12,31021.4,31021.4
Southern_Power,2025.12.16.16,28815.4,28815.4
Southern_Power,2025.12.16.20,20469.4,20469.4
Tibet,2025.01.22.00,84.3125,84.3125
Tibet,2025.01.22.04,0,0
Tibet,2025.01.22.08,80.5129,80.5129
Tibet,2025.01.22.12,177.653,177.653
Tibet,2025.01.22.16,201.746,201.746
Tibet,2025.01.22.20,135.879,135.879
Tibet,2025.02.08.00,54.3514,54.3514
Tibet,2025.02.08.04,0,0
Tibet,2025.02.08.08,58.0805,58.0805
Tibet,2025.02.08.12,212.981,212.981
Tibet,2025.02.08.16,278.345,278.345
Tibet,2025.02.08.20,66.2045,66.2045
Tibet,2025.03.21.00,60.8258,60.8258
Tibet,2025.03.21.04,85.8483,85.8483
Tibet,2025.03.21.08,0,0
Tibet,2025.03.21.12,244.996,244.996
Tibet,2025.03.21.16,202.522,202.522
Tibet,2025.03.21.20,85.9121,85.9121
Tibet,2025.04.11.00,65.5922,65.5922
Tibet,2025.04.11.04,134.913,134.913
Tibet,2025.04.11.08,0,0
Tibet,2025.04.11.12,282.475,282.475
Tibet,2025.04.11.16,69.2884,69.2884
Tibet,2025.04.11.20,127.835,127.835
Tibet,2025.05.22.00,0,0
Tibet,2025.05.22.04,49.8974,49.8974
Tibet,2025.05.22.08,60.252,60.252
Tibet,2025.05.22.12,95.4321,95.4321
Tibet,2025.05.22.16,313.734,313.734
Tibet,2025.05.22.20,160.789,160.789
Tibet,2025.06.16.00,109.43,148.967
Tibet,2025.06.16.04,51.1875,51.1875
Tibet,2025.06.16.08,135.088,135.088
Tibet,2025.06.16.12,139.464,139.464
Tibet,2025.06.16.16,205.398,205.398
Tibet,2025.06.16.20,0,0
Tibet,2025.07.22.00,134.738,318.644
Tibet,2025.07.22.04,0,0
Tibet,2025.07.22.08,53.1824,53.1824
Tibet,2025.07.22.12,136.17,851.62
Tibet,2025.07.22.16,0,0
Tibet,2025.07.22.20,136.761,136.761
Tibet,2025.08.19.00,0,0
Tibet,2025.08.19.04,134.913,134.913
Tibet,2025.08.19.08,0,0
Tibet,2025.08.19.12,136.726,713.533
Tibet,2025.08.19.16,140.741,140.741
Tibet,2025.08.19.20,50.5287,50.5287
Tibet,2025.09.20.00,134.738,134.738
Tibet,2025.09.20.04,0,0
Tibet,2025.09.20.08,62.1255,62.1255
Tibet,2025.09.20.12,72.092,72.092
Tibet,2025.09.20.16,67.3945,67.3945
Tibet,2025.09.20.20,86.251,86.251
Tibet,2025.10.26.00,69.1694,69.1694
Tibet,2025.10.26.04,0,0
Tibet,2025.10.26.08,70.1508,70.1508
Tibet,2025.10.26.12,82.7029,82.7029
Tibet,2025.10.26.16,119.475,119.475
Tibet,2025.10.26.20,135.083,135.083
Tibet,2025.11.19.00,70.4316,70.4316
Tibet,2025.11.19.04,0,0
