ELECRRIC_VEHICLE,timepoint_id,ev_max_power_mw,ev_driving_power
Jiangxi-Ev,2025.04.11.08,1.531153,38.86773
Jiangxi-Ev,2025.04.11.12,222.01718499999998,36.276548000000005
Jiangxi-Ev,2025.04.11.16,1515.84147,0.0
Jiangxi-Ev,2025.04.11.20,1129.990914,95.40261
Jiangxi-Ev,2025.05.22.00,836.009538,3.7689920000000003
Jiangxi-Ev,2025.05.22.04,61.24612,3.53343
Jiangxi-Ev,2025.05.22.08,1.531153,388.67730000000006
Jiangxi-Ev,2025.05.22.12,222.01718499999998,181.38274
Jiangxi-Ev,2025.05.22.16,1515.84147,51.82364
Jiangxi-Ev,2025.05.22.20,1129.990914,76.32208800000001
Jiangxi-Ev,2025.06.16.00,836.009538,0.0
Jiangxi-Ev,2025.06.16.04,61.24612,3.53343
Jiangxi-Ev,2025.06.16.08,1.531153,310.94184
Jiangxi-Ev,2025.06.16.12,222.01718499999998,163.24446600000002
Jiangxi-Ev,2025.06.16.16,1515.84147,155.47091999999998
Jiangxi-Ev,2025.06.16.20,1129.990914,171.72469800000002
Jiangxi-Ev,2025.07.22.00,836.009538,0.9422480000000001
Jiangxi-Ev,2025.07.22.04,61.24612,2.1200579999999998
Jiangxi-Ev,2025.07.22.08,1.531153,0.0
Jiangxi-Ev,2025.07.22.12,222.01718499999998,126.96791800000001
Jiangxi-Ev,2025.07.22.16,1515.84147,207.29456
Jiangxi-Ev,2025.07.22.20,1129.990914,38.161044000000004
Jiangxi-Ev,2025.08.19.00,836.009538,3.7689920000000003
Jiangxi-Ev,2025.08.19.04,61.24612,4.2401159999999996
Jiangxi-Ev,2025.08.19.08,1.531153,116.60319
Jiangxi-Ev,2025.08.19.12,222.01718499999998,163.24446600000002
Jiangxi-Ev,2025.08.19.16,1515.84147,181.38273999999998
Jiangxi-Ev,2025.08.19.20,1129.990914,57.241566000000006
Jiangxi-Ev,2025.09.20.00,836.009538,9.42248
Jiangxi-Ev,2025.09.20.04,61.24612,6.360174
Jiangxi-Ev,2025.09.20.08,1.531153,272.07411
Jiangxi-Ev,2025.09.20.12,222.01718499999998,90.69137
Jiangxi-Ev,2025.09.20.16,1515.84147,77.73545999999999
Jiangxi-Ev,2025.09.20.20,1129.990914,38.161044000000004
Jiangxi-Ev,2025.10.26.00,836.009538,7.537984000000001
Jiangxi-Ev,2025.10.26.04,61.24612,6.360174
Jiangxi-Ev,2025.10.26.08,1.531153,77.73546
Jiangxi-Ev,2025.10.26.12,222.01718499999998,145.10619200000002
Jiangxi-Ev,2025.10.26.16,1515.84147,0.0
Jiangxi-Ev,2025.10.26.20,1129.990914,133.563654
Jiangxi-Ev,2025.11.19.00,836.009538,8.480231999999999
Jiangxi-Ev,2025.11.19.04,61.24612,0.0
Jiangxi-Ev,2025.11.19.08,1.531153,77.73546
Jiangxi-Ev,2025.11.19.12,222.01718499999998,163.24446600000002
Jiangxi-Ev,2025.11.19.16,1515.84147,129.5591
Jiangxi-Ev,2025.11.19.20,1129.990914,190.80522
Jiangxi-Ev,2025.12.16.00,836.009538,8.480231999999999
Jiangxi-Ev,2025.12.16.04,61.24612,6.360174
Jiangxi-Ev,2025.12.16.08,1.531153,116.60319
Jiangxi-Ev,2025.12.16.12,222.01718499999998,181.38274
Jiangxi-Ev,2025.12.16.16,1515.84147,129.5591
Jiangxi-Ev,2025.12.16.20,1129.990914,57.241566000000006
Sichuan-Ev,2025.01.22.00,1934.052393,15.258796
Sichuan-Ev,2025.01.22.04,141.68882000000002,8.174355
Sichuan-Ev,2025.01.22.08,3.5422205,449.58952500000004
Sichuan-Ev,2025.01.22.12,513.6219725,209.808445
Sichuan-Ev,2025.01.22.16,3506.7982950000005,359.67162
Sichuan-Ev,2025.01.22.20,2614.1587289999998,220.707585
Sichuan-Ev,2025.02.08.00,1934.052393,13.078968000000001
Sichuan-Ev,2025.02.08.04,141.68882000000002,4.904613
Sichuan-Ev,2025.02.08.08,3.5422205,89.917905
Sichuan-Ev,2025.02.08.12,513.6219725,167.846756
Sichuan-Ev,2025.02.08.16,3506.7982950000005,299.72634999999997
Sichuan-Ev,2025.02.08.20,2614.1587289999998,132.424551
Sichuan-Ev,2025.03.21.00,1934.052393,19.618452
Sichuan-Ev,2025.03.21.04,141.68882000000002,13.078968000000001
Sichuan-Ev,2025.03.21.08,3.5422205,719.34324
Sichuan-Ev,2025.03.21.12,513.6219725,0.0
Sichuan-Ev,2025.03.21.16,3506.7982950000005,419.61688999999996
Sichuan-Ev,2025.03.21.20,2614.1587289999998,176.566068
Sichuan-Ev,2025.04.11.00,1934.052393,17.438624
Sichuan-Ev,2025.04.11.04,141.68882000000002,4.904613
Sichuan-Ev,2025.04.11.08,3.5422205,269.75371499999994
Sichuan-Ev,2025.04.11.12,513.6219725,41.961689
Sichuan-Ev,2025.04.11.16,3506.7982950000005,539.5074299999999
Sichuan-Ev,2025.04.11.20,2614.1587289999998,397.27365299999997
Sichuan-Ev,2025.05.22.00,1934.052393,6.539484000000001
Sichuan-Ev,2025.05.22.04,141.68882000000002,9.809226
Sichuan-Ev,2025.05.22.08,3.5422205,179.83581
Sichuan-Ev,2025.05.22.12,513.6219725,293.73182299999996
Sichuan-Ev,2025.05.22.16,3506.7982950000005,419.61688999999996
Sichuan-Ev,2025.05.22.20,2614.1587289999998,353.132136
Sichuan-Ev,2025.06.16.00,1934.052393,2.179828
Sichuan-Ev,2025.06.16.04,141.68882000000002,3.2697420000000004
Sichuan-Ev,2025.06.16.08,3.5422205,629.425335
Sichuan-Ev,2025.06.16.12,513.6219725,377.655201
Sichuan-Ev,2025.06.16.16,3506.7982950000005,299.72634999999997
Sichuan-Ev,2025.06.16.20,2614.1587289999998,308.990619
Sichuan-Ev,2025.07.22.00,1934.052393,15.258796
Sichuan-Ev,2025.07.22.04,141.68882000000002,14.713839
