GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Wind-2022,2025.05.22.12,0.040373
Anhui-Wind-2022,2025.05.22.16,0.04353300000000001
Anhui-Wind-2022,2025.05.22.20,0.00889152
Anhui-Wind-2022,2025.06.16.00,0.0338665
Anhui-Wind-2022,2025.06.16.04,0.0232245
Anhui-Wind-2022,2025.06.16.08,0.0158408
Anhui-Wind-2022,2025.06.16.12,0.00955786
Anhui-Wind-2022,2025.06.16.16,0.0407691
Anhui-Wind-2022,2025.06.16.20,0.123062
Anhui-Wind-2022,2025.07.22.00,0.234344
Anhui-Wind-2022,2025.07.22.04,0.21223899999999998
Anhui-Wind-2022,2025.07.22.08,0.128946
Anhui-Wind-2022,2025.07.22.12,0.119485
Anhui-Wind-2022,2025.07.22.16,0.164855
Anhui-Wind-2022,2025.07.22.20,0.151119
Anhui-Wind-2022,2025.08.19.00,0.143152
Anhui-Wind-2022,2025.08.19.04,0.112087
Anhui-Wind-2022,2025.08.19.08,0.0907887
Anhui-Wind-2022,2025.08.19.12,0.100395
Anhui-Wind-2022,2025.08.19.16,0.105395
Anhui-Wind-2022,2025.08.19.20,0.063896
Anhui-Wind-2022,2025.09.20.00,0.127196
Anhui-Wind-2022,2025.09.20.04,0.0875651
Anhui-Wind-2022,2025.09.20.08,0.071397
Anhui-Wind-2022,2025.09.20.12,0.0866515
Anhui-Wind-2022,2025.09.20.16,0.152402
Anhui-Wind-2022,2025.09.20.20,0.155996
Anhui-Wind-2022,2025.10.26.00,0.0803054
Anhui-Wind-2022,2025.10.26.04,0.0766905
Anhui-Wind-2022,2025.10.26.08,0.0270369
Anhui-Wind-2022,2025.10.26.12,0.0300193
Anhui-Wind-2022,2025.10.26.16,0.0547598
Anhui-Wind-2022,2025.10.26.20,0.0317271
Anhui-Wind-2022,2025.11.19.00,0.147191
Anhui-Wind-2022,2025.11.19.04,0.133724
Anhui-Wind-2022,2025.11.19.08,0.19373000000000004
Anhui-Wind-2022,2025.11.19.12,0.224679
Anhui-Wind-2022,2025.11.19.16,0.309393
Anhui-Wind-2022,2025.11.19.20,0.179733
Anhui-Wind-2022,2025.12.16.00,0.367091
Anhui-Wind-2022,2025.12.16.04,0.362752
Anhui-Wind-2022,2025.12.16.08,0.315336
Anhui-Wind-2022,2025.12.16.12,0.280411
Anhui-Wind-2022,2025.12.16.16,0.31021
Anhui-Wind-2022,2025.12.16.20,0.310077
Beijing-Central_PV-2022,2025.01.22.00,0.0
Beijing-Central_PV-2022,2025.01.22.04,0.0
Beijing-Central_PV-2022,2025.01.22.08,0.21293895
Beijing-Central_PV-2022,2025.01.22.12,0.418175
Beijing-Central_PV-2022,2025.01.22.16,0.17964
Beijing-Central_PV-2022,2025.01.22.20,0.0
Beijing-Central_PV-2022,2025.02.08.00,0.0
Beijing-Central_PV-2022,2025.02.08.04,0.0
Beijing-Central_PV-2022,2025.02.08.08,0.07320668749999999
Beijing-Central_PV-2022,2025.02.08.12,0.273165125
Beijing-Central_PV-2022,2025.02.08.16,0.0884726
Beijing-Central_PV-2022,2025.02.08.20,0.0
Beijing-Central_PV-2022,2025.03.21.00,0.0
Beijing-Central_PV-2022,2025.03.21.04,0.0
Beijing-Central_PV-2022,2025.03.21.08,0.186769025
Beijing-Central_PV-2022,2025.03.21.12,0.453270125
Beijing-Central_PV-2022,2025.03.21.16,0.258659875
Beijing-Central_PV-2022,2025.03.21.20,0.0
Beijing-Central_PV-2022,2025.04.11.00,0.0
Beijing-Central_PV-2022,2025.04.11.04,0.0
Beijing-Central_PV-2022,2025.04.11.08,0.5884621250000001
Beijing-Central_PV-2022,2025.04.11.12,0.6600081250000001
Beijing-Central_PV-2022,2025.04.11.16,0.111055875
