load_zone,TIMEPOINT,zone_demand_mw
Beijing,2025.02.08.16,35340.7806793108
Chongqing,2025.02.08.16,32633.5065593194
East_Inner_Mongolia,2025.02.08.16,23322.4983612814
Fujian,2025.02.08.16,49673.286784853
Gansu,2025.02.08.16,37173.6963014318
Guangdong,2025.02.08.16,121167.2099399874
Guangxi,2025.02.08.16,46987.8741547346
Guizhou,2025.02.08.16,44036.4091194148
Hainan,2025.02.08.16,7392.94941353458
Hebei,2025.02.08.16,163942.6603491766
Heilongjiang,2025.02.08.16,36616.9569968544
Henan,2025.02.08.16,125681.206920542
Hubei,2025.02.08.16,67483.1245242768
Hunan,2025.02.08.16,62532.021968883
Jiangsu,2025.02.08.16,162810.44279155
Jiangxi,2025.02.08.16,30215.9489345086
Jilin,2025.02.08.16,31216.6744269374
Liaoning,2025.02.08.16,83849.1191799144
Ningxia,2025.02.08.16,24224.9044103606
Qinghai,2025.02.08.16,21227.2233944704
Shaanxi,2025.02.08.16,48780.7401151142
Shandong,2025.02.08.16,156544.3991000052
Shanghai,2025.02.08.16,58931.5046904044
Shanxi,2025.02.08.16,79329.250592087
Sichuan,2025.02.08.16,76728.8675732318
Tianjin,2025.02.08.16,31927.9126454472
Tibet,2025.02.08.16,1134.251611440626
West_Inner_Mongolia,2025.02.08.16,61290.025140878
Xinjiang,2025.02.08.16,42336.202969857
Yunnan,2025.02.08.16,35092.4058574074
Zhejiang,2025.02.08.16,101962.3745495176
Anhui,2025.02.08.20,54373.4798695172
Beijing,2025.02.08.20,34683.52730329
Chongqing,2025.02.08.20,29855.1830764746
East_Inner_Mongolia,2025.02.08.20,24285.2692419694
Fujian,2025.02.08.20,47993.5573352822
Gansu,2025.02.08.20,38011.4387976944
Guangdong,2025.02.08.20,111635.6154021922
Guangxi,2025.02.08.20,46406.358627043
Guizhou,2025.02.08.20,48269.6469240214
Hainan,2025.02.08.20,8124.7593386225
Hebei,2025.02.08.20,111069.9819010796
Heilongjiang,2025.02.08.20,36228.528567217
Henan,2025.02.08.20,120929.2210048806
Hubei,2025.02.08.20,63250.4293145528
Hunan,2025.02.08.20,64229.49516683
Jiangsu,2025.02.08.20,157697.0254310644
Jiangxi,2025.02.08.20,30366.9440258396
Jilin,2025.02.08.20,30371.5029343362
Liaoning,2025.02.08.20,82094.5313453744
Ningxia,2025.02.08.20,25853.2553673234
Qinghai,2025.02.08.20,21048.4188168944
Shaanxi,2025.02.08.20,47369.611916724
Shandong,2025.02.08.20,146885.4394322314
Shanghai,2025.02.08.20,54490.6504806904
Shanxi,2025.02.08.20,82901.8679723406
Sichuan,2025.02.08.20,69951.3965024002
Tianjin,2025.02.08.20,29317.7150929742
Tibet,2025.02.08.20,1181.531260080996
West_Inner_Mongolia,2025.02.08.20,62658.3678807084
Xinjiang,2025.02.08.20,43204.1167178962
Yunnan,2025.02.08.20,36491.5143595208
Zhejiang,2025.02.08.20,90544.5885573498
Anhui,2025.03.21.00,45025.3030410122
Beijing,2025.03.21.00,19938.93386902458
Chongqing,2025.03.21.00,30080.285983872
East_Inner_Mongolia,2025.03.21.00,20275.380098286
Fujian,2025.03.21.00,54236.702163165
Gansu,2025.03.21.00,35066.588044621
Guangdong,2025.03.21.00,144473.0290895112
Guangxi,2025.03.21.00,41502.5052663668
Guizhou,2025.03.21.00,36413.7115399944
Hainan,2025.03.21.00,9154.45868444032
Hebei,2025.03.21.00,133890.0957199828
Heilongjiang,2025.03.21.00,27066.4183774486
Henan,2025.03.21.00,104359.7636524106
Hubei,2025.03.21.00,58396.1372371446
Hunan,2025.03.21.00,56527.6213930454
Jiangsu,2025.03.21.00,150648.8567011278
Jiangxi,2025.03.21.00,28068.7576935852
Jilin,2025.03.21.00,22465.5252941366
Liaoning,2025.03.21.00,80798.7871100464
Ningxia,2025.03.21.00,27155.4102653638
Qinghai,2025.03.21.00,17460.62925916796
Shaanxi,2025.03.21.00,40093.2828770352
Shandong,2025.03.21.00,139965.0242630012
Shanghai,2025.03.21.00,44002.3902133588
Shanxi,2025.03.21.00,69736.9960872414
Sichuan,2025.03.21.00,58863.7583738718
Tianjin,2025.03.21.00,24171.815443709
Tibet,2025.03.21.00,1106.52297164143
West_Inner_Mongolia,2025.03.21.00,58523.523370802
Xinjiang,2025.03.21.00,39721.7562434404
Yunnan,2025.03.21.00,38068.4174567222
Zhejiang,2025.03.21.00,109881.0393625166
Anhui,2025.03.21.04,38613.4647894666
Beijing,2025.03.21.04,17413.68586211912
Chongqing,2025.03.21.04,24260.5347235172
East_Inner_Mongolia,2025.03.21.04,19572.53238130232
Fujian,2025.03.21.04,49203.2255709072
Gansu,2025.03.21.04,33336.7149593636
Guangdong,2025.03.21.04,125788.1112915846
Guangxi,2025.03.21.04,35351.9428474566
Guizhou,2025.03.21.04,31959.3450764174
Hainan,2025.03.21.04,7581.65054312066
Hebei,2025.03.21.04,116606.6348498918
Heilongjiang,2025.03.21.04,25975.9147516472
Henan,2025.03.21.04,93774.3056808608
Hubei,2025.03.21.04,52682.3005804008
Hunan,2025.03.21.04,43349.6065815434
Jiangsu,2025.03.21.04,138549.4113135576
Jiangxi,2025.03.21.04,25260.2960000452
Jilin,2025.03.21.04,21203.8857662826
Liaoning,2025.03.21.04,74954.6922972792
Ningxia,2025.03.21.04,26183.2034001436
Qinghai,2025.03.21.04,17187.23105196964
Shaanxi,2025.03.21.04,33654.5974886824
Shandong,2025.03.21.04,127866.6428077104
Shanghai,2025.03.21.04,38314.1139635502
Shanxi,2025.03.21.04,66084.2128973712
Sichuan,2025.03.21.04,48958.7059483456
Tianjin,2025.03.21.04,23000.141616798
Tibet,2025.03.21.04,938.218218866922
West_Inner_Mongolia,2025.03.21.04,56718.3917876858
Xinjiang,2025.03.21.04,37609.155480592
Yunnan,2025.03.21.04,34748.5676723402
Zhejiang,2025.03.21.04,95883.6050915776
Anhui,2025.03.21.08,40629.4406382508
Beijing,2025.03.21.08,23610.077664831
Chongqing,2025.03.21.08,25155.2907080746
East_Inner_Mongolia,2025.03.21.08,22451.2576187276
Fujian,2025.03.21.08,51279.8090832372
Gansu,2025.03.21.08,36320.7316378612
Guangdong,2025.03.21.08,138482.2939918946
Guangxi,2025.03.21.08,40100.8091373748
Guizhou,2025.03.21.08,42324.7218366766
Hainan,2025.03.21.08,8026.07307705208
Hebei,2025.03.21.08,136525.1402687258
Heilongjiang,2025.03.21.08,33729.53378214
Henan,2025.03.21.08,96899.435736496
Hubei,2025.03.21.08,52945.6777840244
Hunan,2025.03.21.08,46476.0920082058
Jiangsu,2025.03.21.08,151979.158498899
Jiangxi,2025.03.21.08,25286.9330637718
Jilin,2025.03.21.08,27100.328052925
Liaoning,2025.03.21.08,80884.1486348872
Ningxia,2025.03.21.08,26305.9435921344
Qinghai,2025.03.21.08,17554.21916594106
Shaanxi,2025.03.21.08,36340.1886399218
Shandong,2025.03.21.08,139607.1362688704
Shanghai,2025.03.21.08,47981.2187114736
Shanxi,2025.03.21.08,70077.901114554
Sichuan,2025.03.21.08,50774.164391213
Tianjin,2025.03.21.08,31183.2921577354
Tibet,2025.03.21.08,1138.700895259224
West_Inner_Mongolia,2025.03.21.08,58692.0979257738
Xinjiang,2025.03.21.08,38522.6094363854
Yunnan,2025.03.21.08,41676.807981099
Zhejiang,2025.03.21.08,121015.1444113896
Anhui,2025.03.21.12,48015.057042417
Beijing,2025.03.21.12,29533.5583996534
Chongqing,2025.03.21.12,31530.9212041726
East_Inner_Mongolia,2025.03.21.12,23566.1551879214
Fujian,2025.03.21.12,61281.2894157314
Gansu,2025.03.21.12,38604.6937938294
Guangdong,2025.03.21.12,161377.5753857454
Guangxi,2025.03.21.12,48647.1762796476
Guizhou,2025.03.21.12,48659.382399008
Hainan,2025.03.21.12,8735.66038392872
Hebei,2025.03.21.12,171082.4118930642
Heilongjiang,2025.03.21.12,34770.4766960026
Henan,2025.03.21.12,116959.6566687522
Hubei,2025.03.21.12,62314.4106374478
Hunan,2025.03.21.12,58106.640681235
Jiangsu,2025.03.21.12,175829.9748816132
Jiangxi,2025.03.21.12,30322.5628605932
Jilin,2025.03.21.12,28655.1914222746
Liaoning,2025.03.21.12,84826.5194635078
Ningxia,2025.03.21.12,26625.4229006766
Qinghai,2025.03.21.12,17324.30553497662
Shaanxi,2025.03.21.12,46249.658745718
Shandong,2025.03.21.12,152907.849504358
Shanghai,2025.03.21.12,59009.0213781994
Shanxi,2025.03.21.12,78932.6685713828
Sichuan,2025.03.21.12,72321.2251925492
Tianjin,2025.03.21.12,32517.5778482826
Tibet,2025.03.21.12,1321.376261456426
West_Inner_Mongolia,2025.03.21.12,61002.0441566662
Xinjiang,2025.03.21.12,40904.7845951652
Yunnan,2025.03.21.12,47445.086091936
Zhejiang,2025.03.21.12,131095.0587944232
Anhui,2025.03.21.16,49025.1901741666
Beijing,2025.03.21.16,29260.647331764
Chongqing,2025.03.21.16,33686.2003192976
East_Inner_Mongolia,2025.03.21.16,23218.1596983988
Fujian,2025.03.21.16,62276.9590691946
Gansu,2025.03.21.16,37110.582529399
Guangdong,2025.03.21.16,175583.471366054
Guangxi,2025.03.21.16,50789.6413852504
Guizhou,2025.03.21.16,45168.0171613176
Hainan,2025.03.21.16,8498.63964947764
Hebei,2025.03.21.16,169625.7958358628
Heilongjiang,2025.03.21.16,36080.0505997488
Henan,2025.03.21.16,116108.2885245934
Hubei,2025.03.21.16,65169.3429397548
Hunan,2025.03.21.16,56872.762634484
Jiangsu,2025.03.21.16,179190.0443255066
Jiangxi,2025.03.21.16,31531.331027548
Jilin,2025.03.21.16,30044.604507635
Liaoning,2025.03.21.16,87581.450906272
Ningxia,2025.03.21.16,27062.7972335302
Qinghai,2025.03.21.16,17850.70164263926
Shaanxi,2025.03.21.16,46771.4097733728
Shandong,2025.03.21.16,153649.1779915592
Shanghai,2025.03.21.16,58275.9792934018
Shanxi,2025.03.21.16,76651.216101027
Sichuan,2025.03.21.16,73798.8533493228
Tianjin,2025.03.21.16,33024.2953775278
Tibet,2025.03.21.16,1229.382319394062
West_Inner_Mongolia,2025.03.21.16,61015.8237870718
Xinjiang,2025.03.21.16,40575.9880585402
Yunnan,2025.03.21.16,45280.5224400994
Zhejiang,2025.03.21.16,141380.288599412
Anhui,2025.03.21.20,51422.6641843046
Beijing,2025.03.21.20,28716.469787474
