GENERATION_PROJECT,gen_dbid,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_can_provide_spinning_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_load_fraction,gen_capacity_limit_mw,gen_min_build_capacity,variable_gen_cost,gen_is_distributed
Shaanxi-Coal-2022,existing.22-2,Coal,Shaanxi,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,46990.0,0,0.0,False
Shaanxi-Gas-2022,existing.22-3,Gas,Shaanxi,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,270.0,0,0.0,False
Shaanxi-Hydro_Nonpumped-2022,existing.22-4,Water,Shaanxi,100,False,False,False,.,0.0,0,0.09,0.05,0.0,3500.0,0,0.0,False
Shaanxi-PV-2022,existing.22-6,Solar,Shaanxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,3230.0,0,0.0,True
Shaanxi-Wind-2022,existing.22-7,Wind,Shaanxi,30,True,False,False,.,2.8,0,0.02,0.02,0.0,11640.0,0,0.0,False
Shandong-Central_PV-2022,existing.23-1,Solar,Shandong,20,True,False,False,.,0.0,0,0.0,0.02,0.0,12500.0,0,0.0,False
Shandong-Coal-2022,existing.23-2,Coal,Shandong,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,106970.0,0,0.0,False
Shandong-Gas-2022,existing.23-3,Gas,Shandong,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,170.0,0,0.0,False
Shandong-Hydro_Nonpumped-2022,existing.23-4,Water,Shandong,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2280.0,0,0.0,False
Shandong-Nuclear-2022,existing.23-5,Uranium,Shandong,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,2500.0,0,0.0,False
Shandong-PV-2022,existing.23-6,Solar,Shandong,20,True,False,False,.,0.0,0,0.0,0.02,0.0,30200.0,0,0.0,True
Shandong-Wind-2022,existing.23-7,Wind,Shandong,30,True,False,False,.,2.8,0,0.02,0.02,0.0,23020.0,0,0.0,False
Shanghai-Central_PV-2022,existing.24-1,Solar,Shanghai,20,True,False,False,.,0.0,0,0.0,0.02,0.0,240.0,0,0.0,False
Shanghai-Coal-2022,existing.24-2,Coal,Shanghai,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,14990.0,0,0.0,False
Shanghai-Gas-2022,existing.24-3,Gas,Shanghai,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,8150.0,0,0.0,False
Shanghai-PV-2022,existing.24-6,Solar,Shanghai,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1710.0,0,0.0,True
Shanghai-Wind-2022,existing.24-7,Wind,Shanghai,30,True,False,False,.,2.8,0,0.02,0.02,0.0,1070.0,0,0.0,False
Shanxi-Central_PV-2022,existing.25-1,Solar,Shanxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,12570.0,0,0.0,False
Shanxi-Coal-2022,existing.25-2,Coal,Shanxi,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,71040.0,0,0.0,False
Shanxi-Gas-2022,existing.25-3,Gas,Shanxi,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,3550.0,0,0.0,False
Shanxi-Hydro_Nonpumped-2022,existing.25-4,Water,Shanxi,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2240.0,0,0.0,False
Shanxi-PV-2022,existing.25-6,Solar,Shanxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,4390.0,0,0.0,True
Shanxi-Wind-2022,existing.25-7,Wind,Shanxi,30,True,False,False,.,2.8,0,0.02,0.02,0.0,23080.0,0,0.0,False
Sichuan-Central_PV-2022,existing.26-1,Solar,Sichuan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1730.0,0,0.0,False
Sichuan-Coal-2022,existing.26-2,Coal,Sichuan,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,13780.0,0,0.0,False
Sichuan-Gas-2022,existing.26-3,Gas,Sichuan,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,1450.0,0,0.0,False
Sichuan-Hydro_Nonpumped-2022,existing.26-4,Water,Sichuan,100,False,False,False,.,0.0,0,0.09,0.05,0.0,97490.0,0,0.0,False
Sichuan-PV-2022,existing.26-6,Solar,Sichuan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,330.0,0,0.0,True
Sichuan-Wind-2022,existing.26-7,Wind,Sichuan,30,True,False,False,.,2.8,0,0.02,0.02,0.0,5980.0,0,0.0,False
Tianjin-Central_PV-2022,existing.27-1,Solar,Tianjin,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1220.0,0,0.0,False
Tianjin-Coal-2022,existing.27-2,Coal,Tianjin,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,12380.0,0,0.0,False
Tianjin-Gas-2022,existing.27-3,Gas,Tianjin,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,5610.0,0,0.0,False
Tianjin-Hydro_Nonpumped-2022,existing.27-4,Water,Tianjin,100,False,False,False,.,0.0,0,0.09,0.05,0.0,10.0,0,0.0,False
Tianjin-PV-2022,existing.27-6,Solar,Tianjin,20,True,False,False,.,0.0,0,0.0,0.02,0.0,990.0,0,0.0,True
Tianjin-Wind-2022,existing.27-7,Wind,Tianjin,30,True,False,False,.,2.8,0,0.02,0.02,0.0,1450.0,0,0.0,False
Tibet-Central_PV-2022,existing.28-1,Solar,Tibet,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1760.0,0,0.0,False
Tibet-Hydro_Nonpumped-2022,existing.28-4,Water,Tibet,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2920.0,0,0.0,False
Tibet-PV-2022,existing.28-6,Solar,Tibet,20,True,False,False,.,0.0,0,0.0,0.02,0.0,20.0,0,0.0,True
Tibet-Wind-2022,existing.28-7,Wind,Tibet,30,True,False,False,.,2.8,0,0.02,0.02,0.0,30.0,0,0.0,False
West_Inner_Mongolia-Central_PV-2022,existing.29-1,Solar,West_Inner_Mongolia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,14300.0,0,0.0,False
West_Inner_Mongolia-Coal-2022,existing.29-2,Coal,West_Inner_Mongolia,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,102050.0,0,0.0,False
West_Inner_Mongolia-Gas-2022,existing.29-3,Gas,West_Inner_Mongolia,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,420.0,0,0.0,False
West_Inner_Mongolia-Hydro_Nonpumped-2022,existing.29-4,Water,West_Inner_Mongolia,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2410.0,0,0.0,False
West_Inner_Mongolia-PV-2022,existing.29-6,Solar,West_Inner_Mongolia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1210.0,0,0.0,True
West_Inner_Mongolia-Wind-2022,existing.29-7,Wind,West_Inner_Mongolia,30,True,False,False,.,2.8,0,0.02,0.02,0.0,45480.0,0,0.0,False
Xinjiang-Central_PV-2022,existing.30-1,Solar,Xinjiang,20,True,False,False,.,0.0,0,0.0,0.02,0.0,15460.0,0,0.0,False
Xinjiang-Coal-2022,existing.30-2,Coal,Xinjiang,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,66310.0,0,0.0,False
Xinjiang-Gas-2022,existing.30-3,Gas,Xinjiang,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,1260.0,0,0.0,False
