,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Hebei-Hydro_Nonpumped-2022,2025.04.11,174.2590410085976,348.5180820171942
Hebei-Hydro_Nonpumped-2022,2025.05.22,158.20886779633588,316.41773559267176
Hebei-Hydro_Nonpumped-2022,2025.06.16,259.0956825522939,518.19136510459
Hebei-Hydro_Nonpumped-2022,2025.07.22,774.994165769418,1549.988331538836
Hebei-Hydro_Nonpumped-2022,2025.08.19,1862.8200000000002,3725.6400000000003
Hebei-Hydro_Nonpumped-2022,2025.09.20,781.8728114318158,1563.7456228636315
Hebei-Hydro_Nonpumped-2022,2025.10.26,456.2835482892804,912.5670965785608
Hebei-Hydro_Nonpumped-2022,2025.11.19,334.76079069239887,669.5215813848001
Hebei-Hydro_Nonpumped-2022,2025.12.16,272.85297387708925,545.7059477541809
Heilongjiang-Hydro_Nonpumped-2022,2025.01.22,144.72307437521528,289.44614875043175
Heilongjiang-Hydro_Nonpumped-2022,2025.02.08,125.96923112065998,251.93846224131997
Heilongjiang-Hydro_Nonpumped-2022,2025.03.21,142.95384668098941,285.90769336197997
Heilongjiang-Hydro_Nonpumped-2022,2025.04.11,329.4307700214847,658.8615400429694
Heilongjiang-Hydro_Nonpumped-2022,2025.05.22,414.0,828.0
Heilongjiang-Hydro_Nonpumped-2022,2025.06.16,449.3846167024741,898.7692334049494
Heilongjiang-Hydro_Nonpumped-2022,2025.07.22,658.1538443967011,1316.3076887933998
Heilongjiang-Hydro_Nonpumped-2022,2025.08.19,1090.2,2180.4
Heilongjiang-Hydro_Nonpumped-2022,2025.09.20,1040.3076945041248,2080.615389008247
Heilongjiang-Hydro_Nonpumped-2022,2025.10.26,693.5384610991752,1387.076922198353
Heilongjiang-Hydro_Nonpumped-2022,2025.11.19,368.0,736.0
Heilongjiang-Hydro_Nonpumped-2022,2025.12.16,194.2615411851141,388.5230823702282
Henan-Hydro_Nonpumped-2022,2025.01.22,491.48913380781374,982.9782676156303
Henan-Hydro_Nonpumped-2022,2025.02.08,498.1695606835486,996.3391213671001
Henan-Hydro_Nonpumped-2022,2025.03.21,917.1282576910146,1834.2565153820292
Henan-Hydro_Nonpumped-2022,2025.04.11,934.3065241883776,1868.6130483767552
Henan-Hydro_Nonpumped-2022,2025.05.22,857.9587025987969,1715.9174051975938
Henan-Hydro_Nonpumped-2022,2025.06.16,867.5021715610364,1735.004343122073
Henan-Hydro_Nonpumped-2022,2025.07.22,1603.3043512295078,3206.6087024590206
Henan-Hydro_Nonpumped-2022,2025.08.19,2080.86,4161.72
Henan-Hydro_Nonpumped-2022,2025.09.20,2080.86,4161.72
Henan-Hydro_Nonpumped-2022,2025.10.26,1765.5434773492402,3531.0869546984804
Henan-Hydro_Nonpumped-2022,2025.11.19,1068.8695721457823,2137.7391442915646
Henan-Hydro_Nonpumped-2022,2025.12.16,660.408700781613,1320.8174015632285
Hubei-Hydro_Nonpumped-2022,2025.01.22,3616.081869406454,7232.163738812908
Hubei-Hydro_Nonpumped-2022,2025.02.08,3762.061508174087,7524.123016348197
Hubei-Hydro_Nonpumped-2022,2025.03.21,5154.129447781279,10308.258895562558
Hubei-Hydro_Nonpumped-2022,2025.04.11,7338.78837363129,14677.57674726258
Hubei-Hydro_Nonpumped-2022,2025.05.22,11152.102806553048,22304.205613106096
Hubei-Hydro_Nonpumped-2022,2025.06.16,13947.221646370863,27894.44329274182
Hubei-Hydro_Nonpumped-2022,2025.07.22,17917.2,35834.4
Hubei-Hydro_Nonpumped-2022,2025.08.19,17917.2,35834.4
Hubei-Hydro_Nonpumped-2022,2025.09.20,16776.661617276808,33553.32323455371
Hubei-Hydro_Nonpumped-2022,2025.10.26,13846.088428182651,27692.176856365302
Hubei-Hydro_Nonpumped-2022,2025.11.19,9420.483778873837,18840.967557747674
Hubei-Hydro_Nonpumped-2022,2025.12.16,5262.5843850189085,10525.16877003784
Hunan-Hydro_Nonpumped-2022,2025.01.22,1338.6714980428424,2677.342996085672
Hunan-Hydro_Nonpumped-2022,2025.02.08,2452.0383465998875,4904.076693199775
Hunan-Hydro_Nonpumped-2022,2025.03.21,3392.72642196883,6785.45284393766
Hunan-Hydro_Nonpumped-2022,2025.04.11,6203.278753932553,12406.557507865105
Hunan-Hydro_Nonpumped-2022,2025.05.22,7522.38,15044.76
Hunan-Hydro_Nonpumped-2022,2025.06.16,5973.0404297974865,11946.08085959496
Hunan-Hydro_Nonpumped-2022,2025.07.22,3502.911929444945,7005.823858889903
Hunan-Hydro_Nonpumped-2022,2025.08.19,2453.682891444401,4907.365782888815
Hunan-Hydro_Nonpumped-2022,2025.09.20,1943.8694164498727,3887.7388328997454
Hunan-Hydro_Nonpumped-2022,2025.10.26,1744.8777251707932,3489.755450341599
Hunan-Hydro_Nonpumped-2022,2025.11.19,1813.9492103766022,3627.898420753192
Hunan-Hydro_Nonpumped-2022,2025.12.16,1361.6953264447661,2723.3906528895445
Jiangsu-Hydro_Nonpumped-2022,2025.01.22,104.69787275826918,209.3957455165387
Jiangsu-Hydro_Nonpumped-2022,2025.02.08,139.01062380767397,278.02124761534793
Jiangsu-Hydro_Nonpumped-2022,2025.03.21,221.71314727202085,443.4262945440424
Jiangsu-Hydro_Nonpumped-2022,2025.04.11,256.02589832142564,512.051796642852
Jiangsu-Hydro_Nonpumped-2022,2025.05.22,377.44023674149037,754.8804734829845
Jiangsu-Hydro_Nonpumped-2022,2025.06.16,568.3598920257866,1136.7197840515732
Jiangsu-Hydro_Nonpumped-2022,2025.07.22,1256.1000000000001,2512.2000000000003
Jiangsu-Hydro_Nonpumped-2022,2025.08.19,840.2224412435885,1680.444882487177
Jiangsu-Hydro_Nonpumped-2022,2025.09.20,467.18127336880485,934.362546737606
Jiangsu-Hydro_Nonpumped-2022,2025.10.26,311.45418389933275,622.908367798664
Jiangsu-Hydro_Nonpumped-2022,2025.11.19,216.4342636398952,432.86852727979175
Jiangsu-Hydro_Nonpumped-2022,2025.12.16,132.85192541012862,265.70385082025723
Jiangxi-Hydro_Nonpumped-2022,2025.01.22,605.3368659383113,1210.6737318766227
Jiangxi-Hydro_Nonpumped-2022,2025.02.08,886.5677947154909,1773.1355894309818
Jiangxi-Hydro_Nonpumped-2022,2025.03.21,1591.4618724591628,3182.923744918332
Jiangxi-Hydro_Nonpumped-2022,2025.04.11,2616.1016920732404,5232.203384146481
Jiangxi-Hydro_Nonpumped-2022,2025.05.22,3088.453393461978,6176.906786923956
Jiangxi-Hydro_Nonpumped-2022,2025.06.16,3251.64,6503.28
Jiangxi-Hydro_Nonpumped-2022,2025.07.22,1896.6737356028184,3793.347471205653
Jiangxi-Hydro_Nonpumped-2022,2025.08.19,1286.2500093155022,2572.5000186310112
Jiangxi-Hydro_Nonpumped-2022,2025.09.20,1126.3771197492974,2252.754239498598
Jiangxi-Hydro_Nonpumped-2022,2025.10.26,813.898307926763,1627.7966158535194
Jiangxi-Hydro_Nonpumped-2022,2025.11.19,715.0677984416915,1430.135596883383
Jiangxi-Hydro_Nonpumped-2022,2025.12.16,574.815685213247,1149.6313704264926
Jilin-Hydro_Nonpumped-2022,2025.01.22,406.4125882132615,812.8251764265245
Jilin-Hydro_Nonpumped-2022,2025.02.08,353.84068352953034,707.6813670590607
Jilin-Hydro_Nonpumped-2022,2025.03.21,401.4273255379589,802.8546510759162
Jilin-Hydro_Nonpumped-2022,2025.04.11,925.2202973720132,1850.4405947440193
Jilin-Hydro_Nonpumped-2022,2025.05.22,1162.8135976728151,2325.6271953456303
Jilin-Hydro_Nonpumped-2022,2025.06.16,1262.2923409218338,2524.58468184366
Jilin-Hydro_Nonpumped-2022,2025.07.22,1848.514455582641,3697.0289111652746
Jilin-Hydro_Nonpumped-2022,2025.08.19,3062.04,6124.08
Jilin-Hydro_Nonpumped-2022,2025.09.20,2921.933138604159,5843.866277208318
Jilin-Hydro_Nonpumped-2022,2025.10.26,1947.8798955845384,3895.759791169077
Jilin-Hydro_Nonpumped-2022,2025.11.19,1033.6498527871493,2067.2997055742985
Jilin-Hydro_Nonpumped-2022,2025.12.16,545.5468584495346,1091.0937168990724
Liaoning-Hydro_Nonpumped-2022,2025.01.22,24.62196535689467,49.24393071378934
Liaoning-Hydro_Nonpumped-2022,2025.02.08,20.511453291941056,41.02290658388211
Liaoning-Hydro_Nonpumped-2022,2025.03.21,100.29649438486769,200.59298876973497
Liaoning-Hydro_Nonpumped-2022,2025.04.11,254.02965039457544,508.0593007891509
Liaoning-Hydro_Nonpumped-2022,2025.05.22,328.8409699767312,657.6819399534614
Liaoning-Hydro_Nonpumped-2022,2025.06.16,402.4191359394,804.8382718788
Liaoning-Hydro_Nonpumped-2022,2025.07.22,883.7601083063532,1767.5202166127065
Liaoning-Hydro_Nonpumped-2022,2025.08.19,1445.6999999999998,2891.3999999999996
Liaoning-Hydro_Nonpumped-2022,2025.09.20,723.4501377731622,1446.9002755463262
Liaoning-Hydro_Nonpumped-2022,2025.10.26,301.71159034803685,603.4231806960737
Liaoning-Hydro_Nonpumped-2022,2025.11.19,157.43261686816575,314.86523373633247
Liaoning-Hydro_Nonpumped-2022,2025.12.16,58.36927132234107,116.73854264468214
Ningxia-Hydro_Nonpumped-2022,2025.01.22,56.62500036837511,113.25000073675022
Ningxia-Hydro_Nonpumped-2022,2025.02.08,52.87499939712502,105.74999879425027
Ningxia-Hydro_Nonpumped-2022,2025.03.21,55.875000174125006,111.7500003482499
Ningxia-Hydro_Nonpumped-2022,2025.04.11,83.6249998363748,167.24999967275016
Ningxia-Hydro_Nonpumped-2022,2025.05.22,126.24999958874986,252.49999917749972
Ningxia-Hydro_Nonpumped-2022,2025.06.16,152.50000036750026,305.00000073499996
Ningxia-Hydro_Nonpumped-2022,2025.07.22,203.82000000000002,407.64000000000004
Ningxia-Hydro_Nonpumped-2022,2025.08.19,202.49999977250027,404.999999545
Ningxia-Hydro_Nonpumped-2022,2025.09.20,203.82000000000002,407.64000000000004
Ningxia-Hydro_Nonpumped-2022,2025.10.26,176.2500004987499,352.5000009974998
Ningxia-Hydro_Nonpumped-2022,2025.11.19,106.00000036400023,212.0000007279999
Ningxia-Hydro_Nonpumped-2022,2025.12.16,66.25000060374973,132.50000120750002
Qinghai-Hydro_Nonpumped-2022,2025.01.22,1660.6080169543916,3321.216033908779
Qinghai-Hydro_Nonpumped-2022,2025.02.08,1550.3433398146576,3100.686679629315
Qinghai-Hydro_Nonpumped-2022,2025.03.21,1638.48133194152,3276.9626638830478
Qinghai-Hydro_Nonpumped-2022,2025.04.11,2452.743481647247,4905.486963294513
Qinghai-Hydro_Nonpumped-2022,2025.05.22,3702.163843497836,7404.327686995672
Qinghai-Hydro_Nonpumped-2022,2025.06.16,4472.172579042827,8944.345158085654
Qinghai-Hydro_Nonpumped-2022,2025.07.22,5977.14,11954.28
