ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,StateOfChargeOfEV
Hunan-Ev,2025.11.19.16,5618.8465863
Hunan-Ev,2025.11.19.20,5266.0193343
Hunan-Ev,2025.12.16.00,7140.5048583
Hunan-Ev,2025.12.16.04,7468.6487222999995
Hunan-Ev,2025.12.16.08,5081.874
Hunan-Ev,2025.12.16.12,5081.874
Hunan-Ev,2025.12.16.16,5081.874
Hunan-Ev,2025.12.16.20,5081.874
Jiangxi-Ev,2025.01.22.00,4236.347008000001
Jiangxi-Ev,2025.01.22.04,4230.693520000001
Jiangxi-Ev,2025.01.22.08,3297.8680000000004
Jiangxi-Ev,2025.01.22.12,3297.8680000000004
Jiangxi-Ev,2025.01.22.16,3297.8680000000004
Jiangxi-Ev,2025.01.22.20,3297.8680000000004
Jiangxi-Ev,2025.02.08.00,3525.7271226000007
Jiangxi-Ev,2025.02.08.04,3758.4623786000006
Jiangxi-Ev,2025.02.08.08,3297.8680000000004
Jiangxi-Ev,2025.02.08.12,3297.8680000000004
Jiangxi-Ev,2025.02.08.16,3603.1563520000004
Jiangxi-Ev,2025.02.08.20,3297.8680000000004
Jiangxi-Ev,2025.03.21.00,3859.282914600001
Jiangxi-Ev,2025.03.21.04,4069.4042186000006
Jiangxi-Ev,2025.03.21.08,3297.8680000000004
Jiangxi-Ev,2025.03.21.12,4068.980207
Jiangxi-Ev,2025.03.21.16,3297.8680000000004
Jiangxi-Ev,2025.03.21.20,3297.8680000000004
Jiangxi-Ev,2025.04.11.00,3297.8680000000004
Jiangxi-Ev,2025.04.11.04,3447.5205386000007
Jiangxi-Ev,2025.04.11.08,3297.8680000000004
Jiangxi-Ev,2025.04.11.12,3297.8680000000004
Jiangxi-Ev,2025.04.11.16,3297.8680000000004
Jiangxi-Ev,2025.04.11.20,3297.8680000000004
Jiangxi-Ev,2025.05.22.00,4628.1572826
Jiangxi-Ev,2025.05.22.04,4846.7588186
Jiangxi-Ev,2025.05.22.08,3297.8680000000004
Jiangxi-Ev,2025.05.22.12,3416.002343
Jiangxi-Ev,2025.05.22.16,4195.38961423431
Jiangxi-Ev,2025.05.22.20,3890.04369823431
Jiangxi-Ev,2025.06.16.00,4317.2154426
Jiangxi-Ev,2025.06.16.04,4535.8169786
Jiangxi-Ev,2025.06.16.08,3297.8680000000004
Jiangxi-Ev,2025.06.16.12,3488.555439
Jiangxi-Ev,2025.06.16.16,5004.2143866
Jiangxi-Ev,2025.06.16.20,4317.2580306
Jiangxi-Ev,2025.07.22.00,3575.6662666000007
Jiangxi-Ev,2025.07.22.04,3799.9212906000007
Jiangxi-Ev,2025.07.22.08,3805.7396720000006
Jiangxi-Ev,2025.07.22.12,3297.8680000000004
Jiangxi-Ev,2025.07.22.16,3297.8680000000004
Jiangxi-Ev,2025.07.22.20,3297.8680000000004
Jiangxi-Ev,2025.08.19.00,4545.051009
Jiangxi-Ev,2025.08.19.04,4528.090545
Jiangxi-Ev,2025.08.19.08,4061.6777850000003
Jiangxi-Ev,2025.08.19.12,4252.365224
Jiangxi-Ev,2025.08.19.16,3526.8342640000005
Jiangxi-Ev,2025.08.19.20,3297.8680000000004
Jiangxi-Ev,2025.09.20.00,4405.7867546
Jiangxi-Ev,2025.09.20.04,4380.3460586
Jiangxi-Ev,2025.09.20.08,3297.8680000000004
Jiangxi-Ev,2025.09.20.12,3778.767823
Jiangxi-Ev,2025.09.20.16,3467.825983
Jiangxi-Ev,2025.09.20.20,3315.181807
Jiangxi-Ev,2025.10.26.00,3628.4321546000006
Jiangxi-Ev,2025.10.26.04,3602.9914586000004
Jiangxi-Ev,2025.10.26.08,3297.8680000000004
Jiangxi-Ev,2025.10.26.12,3561.1085350000003
Jiangxi-Ev,2025.10.26.16,3561.1085350000003
Jiangxi-Ev,2025.10.26.20,3658.5840906000008
Jiangxi-Ev,2025.11.19.00,4261.787704
Jiangxi-Ev,2025.11.19.04,4261.787704
Jiangxi-Ev,2025.11.19.08,3950.8458640000003
Jiangxi-Ev,2025.11.19.12,3297.8680000000004
Jiangxi-Ev,2025.11.19.16,3297.8680000000004
Jiangxi-Ev,2025.11.19.20,3297.8680000000004
Jiangxi-Ev,2025.12.16.00,4184.0051316
Jiangxi-Ev,2025.12.16.04,4158.5644356
Jiangxi-Ev,2025.12.16.08,3697.9700570000005
Jiangxi-Ev,2025.12.16.12,3816.1044
Jiangxi-Ev,2025.12.16.16,3297.8680000000004
Jiangxi-Ev,2025.12.16.20,3494.170727026153
Sichuan-Ev,2025.01.22.00,12228.860244
Sichuan-Ev,2025.01.22.04,12090.681864
Sichuan-Ev,2025.01.22.08,10289.68674
Sichuan-Ev,2025.01.22.12,9068.08448
Sichuan-Ev,2025.01.22.16,7629.398
Sichuan-Ev,2025.01.22.20,13729.710532000001
Sichuan-Ev,2025.02.08.00,8788.19308
Sichuan-Ev,2025.02.08.04,8663.093668
Sichuan-Ev,2025.02.08.08,8300.785024
Sichuan-Ev,2025.02.08.12,7629.398
Sichuan-Ev,2025.02.08.16,12756.145972
Sichuan-Ev,2025.02.08.20,10280.324056
Sichuan-Ev,2025.03.21.00,15338.647986200001
Sichuan-Ev,2025.03.21.04,15180.897784000003
Sichuan-Ev,2025.03.21.08,12300.887800000002
Sichuan-Ev,2025.03.21.12,11918.519320000003
Sichuan-Ev,2025.03.21.16,7629.398
Sichuan-Ev,2025.03.21.20,16856.9368982
Sichuan-Ev,2025.04.11.00,8895.878068
Sichuan-Ev,2025.04.11.04,8876.259616
Sichuan-Ev,2025.04.11.08,7797.244756
Sichuan-Ev,2025.04.11.12,7629.398
Sichuan-Ev,2025.04.11.16,10554.727176
Sichuan-Ev,2025.04.11.20,8965.632564
Sichuan-Ev,2025.05.22.00,7836.100190100001
Sichuan-Ev,2025.05.22.04,8335.2808021
Sichuan-Ev,2025.05.22.08,7629.398
Sichuan-Ev,2025.05.22.12,7629.398
Sichuan-Ev,2025.05.22.16,7629.398
Sichuan-Ev,2025.05.22.20,7629.398
Sichuan-Ev,2025.06.16.00,10160.178307999999
Sichuan-Ev,2025.06.16.04,10147.09934
Sichuan-Ev,2025.06.16.08,7629.398
Sichuan-Ev,2025.06.16.12,7629.398
Sichuan-Ev,2025.06.16.16,7629.398
Sichuan-Ev,2025.06.16.20,10168.897619999998
Sichuan-Ev,2025.07.22.00,13687.658242600002
Sichuan-Ev,2025.07.22.04,14167.220402600002
Sichuan-Ev,2025.07.22.08,11662.979500500001
Sichuan-Ev,2025.07.22.12,12439.815704
Sichuan-Ev,2025.07.22.16,10281.785984
Sichuan-Ev,2025.07.22.20,7629.398
Sichuan-Ev,2025.08.19.00,8588.52232
Sichuan-Ev,2025.08.19.04,9068.08448
Sichuan-Ev,2025.08.19.08,7629.398
Sichuan-Ev,2025.08.19.12,7629.398
Sichuan-Ev,2025.08.19.16,7629.398
Sichuan-Ev,2025.08.19.20,7629.398
Sichuan-Ev,2025.09.20.00,10792.328427999999
