GEN_TPS_1,GEN_TPS_2,DispatchGen
Anhui-Gas-2022,2025.05.22.08,0.0
Anhui-Gas-2022,2025.05.22.12,0.0
Anhui-Gas-2022,2025.05.22.16,0.0
Anhui-Gas-2022,2025.05.22.20,0.0
Anhui-Gas-2022,2025.06.16.00,0.0
Anhui-Gas-2022,2025.06.16.04,0.0
Anhui-Gas-2022,2025.06.16.08,0.0
Anhui-Gas-2022,2025.06.16.12,0.0
Anhui-Gas-2022,2025.06.16.16,0.0
Anhui-Gas-2022,2025.06.16.20,0.0
Anhui-Gas-2022,2025.07.22.00,0.0
Anhui-Gas-2022,2025.07.22.04,0.0
Anhui-Gas-2022,2025.07.22.08,0.0
Anhui-Gas-2022,2025.07.22.12,0.0
Anhui-Gas-2022,2025.07.22.16,0.0
Anhui-Gas-2022,2025.07.22.20,0.0
Anhui-Gas-2022,2025.08.19.00,0.0
Anhui-Gas-2022,2025.08.19.04,0.0
Anhui-Gas-2022,2025.08.19.08,0.0
Anhui-Gas-2022,2025.08.19.12,0.0
Anhui-Gas-2022,2025.08.19.16,0.0
Anhui-Gas-2022,2025.08.19.20,0.0
Anhui-Gas-2022,2025.09.20.00,0.0
Anhui-Gas-2022,2025.09.20.04,0.0
Anhui-Gas-2022,2025.09.20.08,0.0
Anhui-Gas-2022,2025.09.20.12,0.0
Anhui-Gas-2022,2025.09.20.16,0.0
Anhui-Gas-2022,2025.09.20.20,0.0
Anhui-Gas-2022,2025.10.26.00,0.0
Anhui-Gas-2022,2025.10.26.04,0.0
Anhui-Gas-2022,2025.10.26.08,0.0
Anhui-Gas-2022,2025.10.26.12,0.0
Anhui-Gas-2022,2025.10.26.16,0.0
Anhui-Gas-2022,2025.10.26.20,0.0
Anhui-Gas-2022,2025.11.19.00,0.0
Anhui-Gas-2022,2025.11.19.04,0.0
Anhui-Gas-2022,2025.11.19.08,0.0
Anhui-Gas-2022,2025.11.19.12,0.0
Anhui-Gas-2022,2025.11.19.16,0.0
Anhui-Gas-2022,2025.11.19.20,0.0
Anhui-Gas-2022,2025.12.16.00,0.0
Anhui-Gas-2022,2025.12.16.04,0.0
Anhui-Gas-2022,2025.12.16.08,0.0
Anhui-Gas-2022,2025.12.16.12,0.0
Anhui-Gas-2022,2025.12.16.16,0.0
Anhui-Gas-2022,2025.12.16.20,0.0
Anhui-Hydro_Nonpumped-2022,2025.01.22.00,573.0523641566567
Anhui-Hydro_Nonpumped-2022,2025.01.22.04,245.22381665309925
Anhui-Hydro_Nonpumped-2022,2025.01.22.08,245.22381665309925
Anhui-Hydro_Nonpumped-2022,2025.01.22.12,245.22381665309925
Anhui-Hydro_Nonpumped-2022,2025.01.22.16,1388.738169068148
Anhui-Hydro_Nonpumped-2022,2025.01.22.20,245.22381665309925
Anhui-Hydro_Nonpumped-2022,2025.02.08.00,1448.3708235344602
Anhui-Hydro_Nonpumped-2022,2025.02.08.04,325.6878884048731
Anhui-Hydro_Nonpumped-2022,2025.02.08.08,325.6878884048731
Anhui-Hydro_Nonpumped-2022,2025.02.08.12,325.6878884048731
Anhui-Hydro_Nonpumped-2022,2025.02.08.16,333.48190811400127
Anhui-Hydro_Nonpumped-2022,2025.02.08.20,1149.338263995407
Anhui-Hydro_Nonpumped-2022,2025.03.21.00,520.462016946079
Anhui-Hydro_Nonpumped-2022,2025.03.21.04,520.462016946079
Anhui-Hydro_Nonpumped-2022,2025.03.21.08,520.462016946079
Anhui-Hydro_Nonpumped-2022,2025.03.21.12,3643.2341186225294
Anhui-Hydro_Nonpumped-2022,2025.03.21.16,520.462016946079
Anhui-Hydro_Nonpumped-2022,2025.03.21.20,520.462016946079
Anhui-Hydro_Nonpumped-2022,2025.04.11.00,1096.4802218945842
Anhui-Hydro_Nonpumped-2022,2025.04.11.04,600.2874748824777
Anhui-Hydro_Nonpumped-2022,2025.04.11.08,738.3451155461953
Anhui-Hydro_Nonpumped-2022,2025.04.11.12,3567.7619365015453
Anhui-Hydro_Nonpumped-2022,2025.04.11.16,600.2874748824777
Anhui-Hydro_Nonpumped-2022,2025.04.11.20,600.2874748824777
Anhui-Hydro_Nonpumped-2022,2025.05.22.00,887.6591397524192
Anhui-Hydro_Nonpumped-2022,2025.05.22.04,887.6591397524192
Anhui-Hydro_Nonpumped-2022,2025.05.22.08,887.6591397524192
Anhui-Hydro_Nonpumped-2022,2025.05.22.12,887.6591397524192
Anhui-Hydro_Nonpumped-2022,2025.05.22.16,3648.4139273412984
Anhui-Hydro_Nonpumped-2022,2025.05.22.20,3452.8591906780566
Anhui-Hydro_Nonpumped-2022,2025.06.16.00,1973.9132675286382
Anhui-Hydro_Nonpumped-2022,2025.06.16.04,1334.681720495162
Anhui-Hydro_Nonpumped-2022,2025.06.16.08,1334.681720495162
Anhui-Hydro_Nonpumped-2022,2025.06.16.12,2455.9971387133337
Anhui-Hydro_Nonpumped-2022,2025.06.16.16,5174.780603279169
Anhui-Hydro_Nonpumped-2022,2025.06.16.20,3742.1261954304773
Anhui-Hydro_Nonpumped-2022,2025.07.22.00,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.07.22.04,5834.359999999997
Anhui-Hydro_Nonpumped-2022,2025.07.22.08,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.07.22.12,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.07.22.16,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.07.22.20,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.08.19.00,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.08.19.04,1973.2854189125746
Anhui-Hydro_Nonpumped-2022,2025.08.19.08,5909.000000000002
Anhui-Hydro_Nonpumped-2022,2025.08.19.12,2456.56718784861
Anhui-Hydro_Nonpumped-2022,2025.08.19.16,1973.2854189125746
Anhui-Hydro_Nonpumped-2022,2025.08.19.20,5458.287001277155
Anhui-Hydro_Nonpumped-2022,2025.09.20.00,3115.8141658164477
Anhui-Hydro_Nonpumped-2022,2025.09.20.04,1181.17444210979
Anhui-Hydro_Nonpumped-2022,2025.09.20.08,1095.2053350438903
Anhui-Hydro_Nonpumped-2022,2025.09.20.12,1095.2053350438903
Anhui-Hydro_Nonpumped-2022,2025.09.20.16,3390.3899668145386
Anhui-Hydro_Nonpumped-2022,2025.09.20.20,3264.674775698126
Anhui-Hydro_Nonpumped-2022,2025.10.26.00,731.2012347461465
Anhui-Hydro_Nonpumped-2022,2025.10.26.04,2181.3579351104927
Anhui-Hydro_Nonpumped-2022,2025.10.26.08,731.2012347461465
Anhui-Hydro_Nonpumped-2022,2025.10.26.12,731.2012347461465
Anhui-Hydro_Nonpumped-2022,2025.10.26.16,3668.2519428587057
Anhui-Hydro_Nonpumped-2022,2025.10.26.20,731.2012347461465
Anhui-Hydro_Nonpumped-2022,2025.11.19.00,507.68993855374356
Anhui-Hydro_Nonpumped-2022,2025.11.19.04,507.68993855374356
Anhui-Hydro_Nonpumped-2022,2025.11.19.08,3553.829569876205
Anhui-Hydro_Nonpumped-2022,2025.11.19.12,507.68993855374356
Anhui-Hydro_Nonpumped-2022,2025.11.19.16,507.68993855374356
Anhui-Hydro_Nonpumped-2022,2025.11.19.20,507.68993855374356
